HDI rank,Country,HUMAN DEVELOPMENT,HDI,Life_Expectancy,Expected_Schooling,Mean_Schooling,GNI,GNI per capita rank minus HDI rank,HDI rank.1
1,Switzerland,VERY HIGH ,0.962,84.0,16.5,13.9,66933.0,5,3
2,Norway,VERY HIGH ,0.961,83.2,18.2,13.0,64660.0,6,1
3,Iceland,VERY HIGH ,0.959,82.7,19.2,13.8,55782.0,11,2
4,"Hong Kong, China (SAR)",VERY HIGH ,0.952,85.5,17.3,12.2,62607.0,6,4
5,Australia,VERY HIGH ,0.951,84.5,21.1,12.7,49238.0,18,5
6,Denmark,VERY HIGH ,0.948,81.4,18.7,13.0,60365.0,6,5
7,Sweden,VERY HIGH ,0.947,83.0,19.4,12.6,54489.0,9,9
8,Ireland,VERY HIGH ,0.945,82.0,18.9,11.6,76169.0,-3,8
9,Germany,VERY HIGH ,0.942,80.6,17.0,14.1,54534.0,6,7
10,Netherlands,VERY HIGH ,0.941,81.7,18.7,12.6,55979.0,3,10
11,Finland,VERY HIGH ,0.94,82.0,19.1,12.9,49452.0,11,12
12,Singapore,VERY HIGH ,0.939,82.8,16.5,11.9,90919.0,-10,10
13,Belgium,VERY HIGH ,0.937,81.9,19.6,12.4,52293.0,7,16
13,New Zealand,VERY HIGH ,0.937,82.5,20.3,12.9,44057.0,16,13
15,Canada,VERY HIGH ,0.936,82.7,16.4,13.8,46808.0,9,15
16,Liechtenstein,VERY HIGH ,0.935,83.3,15.2,12.5,146830.0,-15,14
17,Luxembourg,VERY HIGH ,0.93,82.6,14.4,13.0,84649.0,-13,17
18,United Kingdom,VERY HIGH ,0.929,80.7,17.3,13.4,45225.0,9,17
19,Japan,VERY HIGH ,0.925,84.8,15.2,13.4,42274.0,12,19
19,Korea (Republic of),VERY HIGH ,0.925,83.7,16.5,12.5,44501.0,9,20
21,United States,VERY HIGH ,0.921,77.2,16.3,13.7,64765.0,-14,21
22,Israel,VERY HIGH ,0.919,82.3,16.1,13.3,41524.0,10,22
23,Malta,VERY HIGH ,0.918,83.8,16.8,12.2,38884.0,12,26
23,Slovenia,VERY HIGH ,0.918,80.7,17.7,12.8,39746.0,10,23
25,Austria,VERY HIGH ,0.916,81.6,16.0,12.3,53619.0,-8,23
26,United Arab Emirates,VERY HIGH ,0.911,78.7,15.7,12.7,62574.0,-15,25
27,Spain,VERY HIGH ,0.905,83.0,17.9,10.6,38354.0,10,27
28,France,VERY HIGH ,0.903,82.5,15.8,11.6,45937.0,-2,28
29,Cyprus,VERY HIGH ,0.896,81.2,15.6,12.4,38188.0,9,29
30,Italy,VERY HIGH ,0.895,82.9,16.2,10.7,42840.0,0,32
31,Estonia,VERY HIGH ,0.89,77.1,15.9,13.5,38048.0,8,30
32,Czechia,VERY HIGH ,0.889,77.7,16.2,12.9,38745.0,4,30
33,Greece,VERY HIGH ,0.887,80.1,20.0,11.4,29002.0,17,33
34,Poland,VERY HIGH ,0.876,76.5,16.0,13.2,33034.0,8,36
35,Bahrain,VERY HIGH ,0.875,78.8,16.3,11.0,39497.0,-1,35
35,Lithuania,VERY HIGH ,0.875,73.7,16.3,13.5,37931.0,5,34
35,Saudi Arabia,VERY HIGH ,0.875,76.9,16.1,11.3,46112.0,-10,38
38,Portugal,VERY HIGH ,0.866,81.0,16.9,9.6,33155.0,3,39
39,Latvia,VERY HIGH ,0.863,73.6,16.2,13.3,32803.0,4,37
40,Andorra,VERY HIGH ,0.858,80.4,13.3,10.6,51167.0,-19,45
40,Croatia,VERY HIGH ,0.858,77.6,15.1,12.2,30132.0,8,41
42,Chile,VERY HIGH ,0.855,78.9,16.7,10.9,24563.0,14,43
42,Qatar,VERY HIGH ,0.855,79.3,12.6,10.0,87134.0,-39,42
44,San Marino,VERY HIGH ,0.853,80.9,12.3,10.8,52654.0,-25,46
45,Slovakia,VERY HIGH ,0.848,74.9,14.5,12.9,30690.0,1,40
46,Hungary,VERY HIGH ,0.846,74.5,15.0,12.2,32789.0,-2,44
47,Argentina,VERY HIGH ,0.842,75.4,17.9,11.1,20925.0,17,47
48,Türkiye,VERY HIGH ,0.838,76.0,18.3,8.6,31033.0,-3,48
49,Montenegro,VERY HIGH ,0.832,76.3,15.1,12.2,20839.0,16,52
50,Kuwait,VERY HIGH ,0.831,78.7,15.3,7.3,52920.0,-32,54
51,Brunei Darussalam,VERY HIGH ,0.829,74.6,14.0,9.2,64490.0,-42,49
52,Russian Federation,VERY HIGH ,0.822,69.4,15.8,12.8,27166.0,-1,49
53,Romania,VERY HIGH ,0.821,74.2,14.2,11.3,30027.0,-4,53
54,Oman,VERY HIGH ,0.816,72.5,14.6,11.7,27054.0,-2,51
55,Bahamas,VERY HIGH ,0.812,71.6,12.9,12.6,30486.0,-8,58
56,Kazakhstan,VERY HIGH ,0.811,69.4,15.8,12.3,23943.0,1,59
57,Trinidad and Tobago,VERY HIGH ,0.81,73.0,14.5,11.6,23392.0,1,56
58,Costa Rica,VERY HIGH ,0.809,77.0,16.5,8.8,19974.0,8,57
58,Uruguay,VERY HIGH ,0.809,75.4,16.8,9.0,21269.0,5,55
60,Belarus,VERY HIGH ,0.808,72.4,15.2,12.1,18849.0,8,60
61,Panama,VERY HIGH ,0.805,76.2,13.1,10.5,26957.0,-8,67
62,Malaysia,VERY HIGH ,0.803,74.9,13.3,10.6,26658.0,-8,61
63,Georgia,VERY HIGH ,0.802,71.7,15.6,12.8,14664.0,17,64
63,Mauritius,VERY HIGH ,0.802,73.6,15.2,10.4,22025.0,-1,62
63,Serbia,VERY HIGH ,0.802,74.2,14.4,11.4,19123.0,4,62
66,Thailand,VERY HIGH ,0.8,78.7,15.9,8.7,17030.0,6,64
67,Albania,HIGH,0.796,76.5,14.4,11.3,14131.0,17,68
68,Bulgaria,HIGH,0.795,71.8,13.9,11.4,23079.0,-8,64
68,Grenada,HIGH,0.795,74.9,18.7,9.0,13484.0,18,70
70,Barbados,HIGH,0.79,77.6,15.7,9.9,12306.0,26,71
71,Antigua and Barbuda,HIGH,0.788,78.5,14.2,9.3,16792.0,2,71
72,Seychelles,HIGH,0.785,71.3,13.9,10.3,25831.0,-17,69
73,Sri Lanka,HIGH,0.782,76.4,14.1,10.8,12578.0,21,75
74,Bosnia and Herzegovina,HIGH,0.78,75.3,13.8,10.5,15242.0,4,73
75,Saint Kitts and Nevis,HIGH,0.777,71.7,15.4,8.7,23358.0,-16,76
76,Iran (Islamic Republic of),HIGH,0.774,73.9,14.6,10.6,13001.0,15,77
77,Ukraine,HIGH,0.773,71.6,15.0,11.1,13256.0,11,78
78,North Macedonia,HIGH,0.77,73.8,13.6,10.2,15918.0,-3,79
79,China,HIGH,0.768,78.2,14.2,7.6,17504.0,-8,82
80,Dominican Republic,HIGH,0.767,72.6,14.5,9.3,17990.0,-11,82
80,Moldova (Republic of),HIGH,0.767,68.8,14.4,11.8,14875.0,-1,81
80,Palau,HIGH,0.767,66.0,15.8,12.5,13819.0,5,80
83,Cuba,HIGH,0.764,73.7,14.4,12.5,7879.0,37,73
84,Peru,HIGH,0.762,72.4,15.4,9.9,12246.0,13,85
85,Armenia,HIGH,0.759,72.0,13.1,11.3,13158.0,4,87
86,Mexico,HIGH,0.758,70.2,14.9,9.2,17896.0,-16,88
87,Brazil,HIGH,0.754,72.8,15.6,8.1,14370.0,-5,86
88,Colombia,HIGH,0.752,72.8,14.4,8.9,14384.0,-7,88
